Index,Country,Cities,DateTime,Latitude,Longitude,Weather,Humidity,Temperature,Max Temperature,Cloudiness,Wind Speed
0,NZ,Te Anau,1657450094,-45.4167,167.7167,scattered clouds,94,-0.54,-0.54,39,0.84
1,KY,Bodden Town,1657450094,19.2833,-81.25,scattered clouds,81,26.11,27.74,37,1.34
2,AR,Ushuaia,1657449879,-54.8,-68.3,light snow,86,-0.19,-0.19,100,9.77
3,EC,Puerto Ayora,1657450094,-0.7393,-90.3518,overcast clouds,96,20.31,20.31,90,3.13
4,SA,Riyadh,1657449684,24.6877,46.7219,overcast clouds,6,43.08,43.08,100,6.7
5,SE,Skoghall,1657450095,59.3232,13.4655,broken clouds,44,16.31,16.31,75,5.66
6,BO,La Santisima Trinidad,1657450095,-14.8333,-64.9,scattered clouds,94,20.99,20.99,25,1.54
7,CA,Yellowknife,1657450095,62.456,-114.3525,broken clouds,100,15.29,15.29,75,0
8,AU,Port Macquarie,1657450095,-31.4333,152.9167,light rain,94,11.94,11.94,40,5.14
9,BO,Riberalta,1657450095,-10.9833,-66.1,mist,100,22.11,22.11,75,0
10,BR,Touros,1657450095,-5.1989,-35.4608,few clouds,82,25.29,25.29,20,6.52
11,GL,Nanortalik,1657450095,60.1432,-45.2371,overcast clouds,89,6.06,6.06,92,3.02
12,MX,Progreso,1657450095,21.2833,-89.6667,scattered clouds,90,23.95,23.95,43,3.13
13,VU,Isangel,1657450095,-19.55,169.2667,scattered clouds,77,24.8,24.8,47,4.08
14,ID,Bengkulu,1657450095,-3.8004,102.2655,scattered clouds,76,26.47,26.47,29,1.59
15,AR,Mar del Plata,1657450096,-38.0023,-57.5575,light rain,94,13.6,14.01,100,2.06
16,CA,Flin Flon,1657450096,54.7682,-101.865,overcast clouds,73,15.26,15.26,91,1.95
17,AU,Hobart,1657450096,-42.8794,147.3294,broken clouds,75,7.67,9.03,75,2.57
18,ML,Tessalit,1657450096,20.1986,1.0114,clear sky,9,39.69,39.69,5,2.11
19,NC,Vao,1657450096,-22.6667,167.4833,overcast clouds,81,24.24,24.24,94,9.16
20,ZA,Cape Town,1657449320,-33.9258,18.4232,light rain,87,14.23,16.18,75,6.69
21,PF,Rikitea,1657450096,-23.1203,-134.9692,light rain,79,22.49,22.49,100,0.37
22,TO,Vaini,1657450096,-21.2,-175.2,scattered clouds,83,23.09,23.09,40,4.12
23,CD,Kikwit,1657450096,-5.041,18.8162,broken clouds,17,36.88,36.88,73,0.9
24,PT,Vila,1657450096,42.0304,-8.1588,clear sky,35,29.28,29.28,0,1
25,BR,Cabedelo,1657450096,-6.9811,-34.8339,clear sky,77,24.37,24.37,2,7.25
26,IS,Hofn,1657450096,64.2539,-15.2082,light intensity drizzle rain,93,11.01,11.01,100,1.54
27,US,Albany,1657450097,42.6001,-73.9662,clear sky,84,11.1,13.77,0,1.38
28,AU,Busselton,1657450097,-33.65,115.3333,broken clouds,63,13.47,13.47,77,3.57
29,US,Avera,1657450097,33.194,-82.5271,overcast clouds,90,23.7,24.1,99,1.33
30,GA,Makokou,1657450097,0.5738,12.8642,mist,78,26.19,26.19,100,2.05
31,PK,Khangarh,1657450097,29.9173,71.1618,overcast clouds,45,36.04,36.04,99,1.29
32,CK,Avarua,1657450097,-21.2078,-159.775,overcast clouds,56,23.03,23.03,100,3.6
33,US,Hilo,1657449821,19.7297,-155.09,moderate rain,100,22.05,24.6,100,2.57
34,NU,Alofi,1657450097,-19.0595,-169.9187,overcast clouds,83,23.94,23.94,96,4.63
35,NZ,Mataura,1657450097,-46.1927,168.8643,clear sky,97,3.6,3.6,6,1.23
36,ZA,Port Alfred,1657450097,-33.5906,26.891,scattered clouds,72,18.99,18.99,50,2.24
37,CU,Baracoa,1657450097,20.3467,-74.4958,overcast clouds,87,25.84,25.84,97,0.94
38,PE,Camaná,1657450098,-16.6228,-72.7111,broken clouds,88,15.27,15.27,71,2.87
39,BR,Castro,1657450069,-24.7911,-50.0119,overcast clouds,81,12.36,12.36,93,1.98
40,PF,Atuona,1657450098,-9.8,-139.0333,light rain,81,25.01,25.01,30,9.13
41,RU,Provideniya,1657449901,64.3833,-173.3,overcast clouds,93,8.87,8.87,100,3.76
42,RU,Uzhur,1657450098,55.3036,89.8339,broken clouds,56,23.81,23.81,53,2.35
43,ML,Taoudenni,1657450098,22.6783,-3.9836,scattered clouds,6,44.04,44.04,30,2.02
44,FR,Sanary-sur-Mer,1657450098,43.1178,5.8001,clear sky,58,29.96,33.71,1,3.58
45,GA,Port-Gentil,1657450098,-0.7193,8.7815,scattered clouds,65,25.98,25.98,40,5.66
46,US,North Bend,1657450098,43.4065,-124.2243,clear sky,99,12.12,13.81,0,0
47,TM,Balkanabat,1657450098,39.5108,54.3671,clear sky,12,38.3,38.3,0,4.35
48,NO,Mehamn,1657450098,71.0357,27.8492,few clouds,82,12.97,12.97,20,4.12
49,CD,Gemena,1657450098,3.25,19.7667,few clouds,42,32.92,32.92,16,1.99
50,US,Bethel,1657450098,41.3712,-73.414,clear sky,75,14.48,18.14,0,0
51,RU,Severo-Kuril'sk,1657450098,50.6789,156.125,overcast clouds,82,14.82,14.82,100,3.4
52,RU,Chul'man,1657450099,56.8479,124.9104,light rain,90,16.15,16.15,90,1.88
53,ML,Ténenkou,1657450099,14.4572,-4.9169,broken clouds,39,34.06,34.06,71,7.26
54,KI,Butaritari,1657450099,3.0707,172.7902,light rain,78,27.97,27.97,5,7.27
55,MX,Guerrero Negro,1657449906,27.9769,-114.0611,clear sky,90,19.05,19.05,7,4.74
56,MU,Mahébourg,1657450099,-20.4081,57.7,scattered clouds,56,23.16,23.47,40,7.2
57,PH,Dingle,1657450099,10.9995,122.6711,overcast clouds,91,25.67,25.67,100,2.37
58,RU,Lavrentiya,1657450099,65.5833,-171,overcast clouds,92,8.07,8.07,100,4.37
59,ZA,Bredasdorp,1657450099,-34.5322,20.0403,light rain,85,12.67,12.67,96,3.01
60,RU,Berdigestyakh,1657450099,62.0989,126.6992,overcast clouds,76,16.63,16.63,86,2.52
61,SA,Umluj,1657450099,25.0213,37.2685,few clouds,48,32.19,32.19,12,4.52
62,TO,Pangai,1657450099,-19.8,-174.35,overcast clouds,79,25.05,25.05,100,9.03
63,US,Barrow,1657450099,71.2906,-156.7887,clear sky,81,6.01,6.01,0,4.63
64,PT,Ribeira Grande,1657450099,38.5167,-28.7,broken clouds,64,20.22,20.22,75,2.57
65,AR,Necochea,1657449979,-38.5473,-58.7368,overcast clouds,94,11.46,11.46,100,3.53
66,CA,Thompson,1657450100,55.7435,-97.8558,fog,100,12.09,12.09,100,1.54
67,AU,Ulladulla,1657450100,-35.35,150.4667,light rain,80,11.83,11.83,78,3.73
68,CL,Santiago,1657449827,-33.4569,-70.6483,broken clouds,86,7.41,9.36,75,1.03
69,BR,Itaituba,1657450100,-4.2761,-55.9836,broken clouds,81,23.62,23.62,72,0.59
70,CL,Lebu,1657450100,-37.6167,-73.65,few clouds,89,7.64,7.64,17,3.22
71,JP,Naze,1657450100,28.3667,129.4833,clear sky,90,27.51,27.51,1,2.25
72,AR,Olavarría,1657450100,-36.8927,-60.3225,overcast clouds,94,10.57,10.57,87,4.13
73,OM,Salalah,1657450100,17.0151,54.0924,haze,94,26.05,26.05,100,4.12
74,CL,Punta Arenas,1657450100,-53.15,-70.9167,few clouds,80,-2.94,-2.94,20,4.12
75,US,Westport,1657450100,41.1415,-73.3579,clear sky,70,16.55,19.48,0,2.68
76,NZ,Bluff,1657450100,-46.6,168.3333,overcast clouds,74,3.78,3.78,92,3.52
77,AU,New Norfolk,1657450100,-42.7826,147.0587,broken clouds,80,5.44,8.84,67,1.38
78,US,Jamestown,1657450101,42.097,-79.2353,clear sky,72,11.24,13.8,0,2.06
79,BR,Torres,1657450101,-29.3353,-49.7269,few clouds,87,19.9,19.9,16,2.62
80,IN,Karīmganj,1657450101,24.8667,92.35,few clouds,70,33.22,33.22,12,1.56
81,SN,Bakel,1657450101,14.905,-12.4568,overcast clouds,48,32.53,32.53,100,6.12
82,AU,Codrington,1657450101,-38.2667,141.9667,overcast clouds,77,8.26,8.26,100,5.1
83,AU,Maningrida,1657450101,-12.0667,134.2667,few clouds,80,21.74,21.74,13,3.88
84,FO,Klaksvík,1657450101,62.2266,-6.589,overcast clouds,96,12.51,12.51,99,4.83
85,UA,Lypova Dolyna,1657450101,50.5643,33.7979,overcast clouds,59,24.93,24.93,100,4.03
86,IN,Rāiganj,1657450101,25.6167,88.1167,broken clouds,42,36.57,36.57,67,2.98
87,SJ,Longyearbyen,1657450101,78.2186,15.6401,broken clouds,76,6.91,6.91,75,6.17
88,UY,Departamento de Maldonado,1657450101,-34.6667,-54.9167,broken clouds,86,20.66,20.66,53,5.84
89,RU,Staryy Nadym,1657450101,65.6118,72.6842,overcast clouds,40,22.52,22.52,87,7.16
90,NC,Ouégoa,1657450101,-20.35,164.4333,clear sky,84,24.87,24.87,6,4.03
91,KG,Kyzyl-Suu,1657450102,42.3414,78.0056,scattered clouds,45,20.83,20.83,44,4.76
92,CA,Norman Wells,1657450102,65.282,-126.8329,smoke,87,11.02,11.02,100,0
93,RU,Nyurba,1657450102,63.2842,118.3319,overcast clouds,95,15.22,15.22,100,0.2
94,PF,Faanui,1657450102,-16.4833,-151.75,light rain,72,25.65,25.65,86,7.96
